set ITEMS := I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16;
set SUBSETS := S1 S2 S3 S4 S5 S6;

param Cost := 
S1 1 
S2 1 
S3 1 
S4 1 
S5 1 
S6 1
;

param A : S1 S2 S3 S4 S5 S6 :=
     I1    1  0  0  0  0  0
     I2    1  0  0  0  0  0
     I3    1  0  0  0  0  1
     I4    1  0  0  0  0  0
     I5    0  1  0  0  0  0
     I6    0  0  0  0  1  0
     I7    0  1  0  0  0  1
     I8    0  1  0  0  0  0
     I9    0  0  1  0  1  0
     I10   0  1  1  0  0  0
     I11   0  0  1  0  1  1
     I12   0  0  0  1  1  0
     I13   1  0  0  1  0  1
     I14   0  0  0  0  1  1
     I15   0  0  0  0  1  0
     I16   0  0  1  1  1  0 
     ;
